cohort,period_cohort,user_pseudo_id,level_starts,days,level_starts_per_day,sessions,sessions_per_day
treatment,post-period,0007A96FEDC18F960EF004FCCB5FB41C,6,3,2.0,2,1.0
treatment,pre-period,0007A96FEDC18F960EF004FCCB5FB41C,2,2,1.0,2,1.0
treatment,pre-period,000A8B9167F5F9B7BF620708D320E32F,3,1,3.0,1,1.0
treatment,post-period,000A8B9167F5F9B7BF620708D320E32F,1,1,1.0,0,
control,control-period,0014DFDE712A8A42EE68057DD4062E42,11,10,1.1,11,1.1
control,control-period,0015EE183D5A306035B51F4F6CE1E6FE,11,1,11.0,1,1.0
control,control-period,002D9F19C4713F59939F0E333AF8ED83,4,1,4.0,1,1.0
treatment,post-period,00353D3418DD0707FE0A80A59FBD5705,9,3,3.0,3,1.0
treatment,pre-period,00353D3418DD0707FE0A80A59FBD5705,11,2,5.5,4,2.0
control,control-period,003CF1D00480965F4F689CC4D4E735B8,1,1,1.0,1,1.0
treatment,pre-period,0046A2D1B1135C0AB4462B8FF036739E,7,3,2.3333333333333335,3,1.0
treatment,post-period,0046A2D1B1135C0AB4462B8FF036739E,71,9,7.8888888888888893,11,1.2222222222222223
control,control-period,0048799041F12675C9FAE45E92FA97E8,6,1,6.0,1,1.0
treatment,post-period,004D2DFEB866BFB00427DB2F530C1F3D,1702,31,54.903225806451616,43,1.5357142857142858
treatment,pre-period,004D2DFEB866BFB00427DB2F530C1F3D,19,1,19.0,1,1.0
control,control-period,0051D89BAAB15AEAFAEDAFF9B3045A81,43,3,14.333333333333334,6,2.0
treatment,pre-period,0053BF563994B28D4A8035CEE4215F2F,9,1,9.0,1,1.0
treatment,post-period,0053BF563994B28D4A8035CEE4215F2F,9,1,9.0,0,
control,control-period,00561AFE95D32829E7B01AE07B4A4566,7,1,7.0,1,1.0
control,control-period,0076E7184159D1696E773FA2CCB9232B,2,1,2.0,1,1.0
control,control-period,00802DA458DB2440535C1C3796892482,19,2,9.5,2,1.0
treatment,post-period,0081AD106B7DBC9A4B70CE88CCC8AAB8,3,1,3.0,1,1.0
treatment,pre-period,0081AD106B7DBC9A4B70CE88CCC8AAB8,8,1,8.0,2,2.0
treatment,pre-period,008B3F06DF8F2C762B3A22478E386370,1,1,1.0,0,
treatment,post-period,008B3F06DF8F2C762B3A22478E386370,16,2,8.0,2,1.0
control,control-period,008B98FBBEAA0123D07AE8C7B589D91E,4,1,4.0,1,1.0
treatment,pre-period,00900133892F41706582DFE78A7BB382,22,8,2.75,10,1.25
treatment,post-period,00900133892F41706582DFE78A7BB382,260,6,43.333333333333336,20,3.3333333333333335
control,control-period,0090B7231E537B887F252A82E372B429,3,1,3.0,1,1.0
treatment,pre-period,009F38F0C74D2D71E77E282D958CA3B1,2,1,2.0,1,1.0
treatment,post-period,009F38F0C74D2D71E77E282D958CA3B1,2,1,2.0,0,
treatment,pre-period,00AE0CA4117376AE083FD6AEA744CE88,1,1,1.0,1,1.0
treatment,post-period,00AE0CA4117376AE083FD6AEA744CE88,2,1,2.0,0,
control,control-period,00B6D40595249C8532BCA9846389C411,7,2,3.5,3,1.5
control,control-period,00BA8306014724A957DB27B9417C5149,1,1,1.0,1,1.0
control,control-period,00C10F1032F931C0B1141BFA43310659,3,1,3.0,0,
control,control-period,00E542CEE1C381384B5D40B775F1C19A,18,4,4.5,4,1.0
control,control-period,00E73662F9546B76A7DF698A460AEEEB,34,2,17.0,3,1.5
treatment,post-period,00E878EB767C8B2AC001F40367A4B8DE,48,13,3.6923076923076925,14,1.0769230769230769
treatment,pre-period,00E878EB767C8B2AC001F40367A4B8DE,2,1,2.0,2,1.0
control,control-period,00F318B55E522F45AEA8DD1973AF0C07,5,1,5.0,1,1.0
treatment,post-period,01034FBFE4127414C50FCFF64CE6C1D9,10,1,10.0,0,
treatment,pre-period,01034FBFE4127414C50FCFF64CE6C1D9,2,1,2.0,1,1.0
control,control-period,01049F67B5E5D233A627A968918ECD42,6,2,3.0,2,1.0
control,control-period,0108914D60F8763EC47674045D644AA7,17,11,1.5454545454545454,7,1.0
control,control-period,010DAA54F4C62559F2F5767813B48782,47,4,11.75,4,1.0
control,control-period,011068A78F16C35DE89A649B12D640DA,2,1,2.0,1,1.0
treatment,pre-period,011A541DBC3D5ADB8450B051AC69A304,112,23,4.8695652173913047,34,1.4782608695652173
treatment,post-period,011A541DBC3D5ADB8450B051AC69A304,89,17,5.2352941176470589,27,1.6875
treatment,pre-period,0129188FE90E57C0A94813F1919AB27D,5,3,1.6666666666666667,3,1.0
treatment,post-period,0129188FE90E57C0A94813F1919AB27D,149,20,7.45,27,1.4210526315789473
treatment,pre-period,012A1B5594934B98BD38FDD68C560702,4,2,2.0,2,1.0
treatment,post-period,012A1B5594934B98BD38FDD68C560702,9,2,4.5,1,1.0
control,control-period,014777C323CE549D3208E117F475A388,27,2,13.5,4,2.0
control,control-period,014EE05605C94D797CA52C355638C967,2,1,2.0,1,1.0
treatment,post-period,0155220BAB309646CC7AC980AB75A212,21,5,4.2,4,1.0
treatment,pre-period,0155220BAB309646CC7AC980AB75A212,16,1,16.0,1,1.0
control,control-period,01562149DD13E75D732F0A9CA2D8CF5C,29,2,14.5,3,1.0
treatment,pre-period,01584C13B91809E976B16BC90DBC11C8,2,1,2.0,1,1.0
treatment,post-period,01584C13B91809E976B16BC90DBC11C8,6,2,3.0,2,2.0
control,control-period,015F4B3AB35F946F83A1D95599A15FCF,4,2,2.0,2,1.0
treatment,pre-period,0160043392B1572A375E5C3BE1BB0C31,17,1,17.0,1,1.0
treatment,post-period,0160043392B1572A375E5C3BE1BB0C31,53,4,13.25,5,1.25
treatment,pre-period,0160EC4EE75522ACCC890FFE836C8D8F,11,3,3.6666666666666665,3,1.0
treatment,post-period,0160EC4EE75522ACCC890FFE836C8D8F,27,1,27.0,0,
treatment,pre-period,0169207CA0A27CD81CFA1EC3CA441EB6,3,1,3.0,1,1.0
treatment,post-period,0169207CA0A27CD81CFA1EC3CA441EB6,3,1,3.0,0,
control,control-period,01749360DADD769CDFB6D1E5DCBB2BD9,9,6,1.5,7,1.0
control,control-period,0175F289F0878C46DCA6B0AF3C5677F1,8,4,2.0,8,1.3333333333333333
control,control-period,017CF202552235BBA4338E0D82A53F43,17,3,5.666666666666667,3,1.0
control,control-period,017FFA0093F5423E930694F9D80CF61D,3,1,3.0,1,1.0
control,control-period,0187DEDABE4765DD4F99A33C3C42C990,10,1,10.0,2,2.0
control,control-period,018CAABB1F4DBDD23D432D211F095B5E,13,2,6.5,5,1.0
treatment,post-period,018D9A140B327998E49E56FF12ECE76D,13,4,3.25,3,1.0
treatment,pre-period,018D9A140B327998E49E56FF12ECE76D,2,1,2.0,1,1.0
control,control-period,018F03084C88E944163F76A0D0C2FBA1,1273,66,19.287878787878789,114,1.7272727272727273
treatment,post-period,019016F377FEFB43E822470C38EC7FD2,6,1,6.0,0,
treatment,pre-period,019016F377FEFB43E822470C38EC7FD2,0,0,,1,1.0
control,control-period,0193B23074270D1E7949F2E2C45144CB,8,2,4.0,3,1.5
treatment,post-period,0198F541DC7BBE09C52E8C9472F9DC8B,1,1,1.0,0,
treatment,pre-period,0198F541DC7BBE09C52E8C9472F9DC8B,2,1,2.0,1,1.0
control,control-period,019FCC6C080A33E9B697CAA476C4156E,440,6,73.333333333333329,17,2.8333333333333335
treatment,pre-period,01A2266B0F0188829C230F90721CE95D,7,3,2.3333333333333335,3,1.0
treatment,post-period,01A2266B0F0188829C230F90721CE95D,5,1,5.0,0,
treatment,post-period,01A2CCF65B4BB5DF87B1F9177616C5AF,11,2,5.5,2,1.0
treatment,pre-period,01A2CCF65B4BB5DF87B1F9177616C5AF,10,1,10.0,1,1.0
treatment,pre-period,01B251A762C06291B7681D018B43E42A,3,1,3.0,1,1.0
treatment,post-period,01B251A762C06291B7681D018B43E42A,20,1,20.0,0,
treatment,pre-period,01B358175084B5B44F1C83C2A42FE33A,11,3,3.6666666666666665,3,1.0
treatment,post-period,01B358175084B5B44F1C83C2A42FE33A,22,2,11.0,2,1.0
treatment,pre-period,01BE5107A02018738DED57597F10A916,5,1,5.0,1,1.0
treatment,post-period,01BE5107A02018738DED57597F10A916,37,4,9.25,3,1.0
control,control-period,01C32D7902049B768BAA294A7F0D150D,5,1,5.0,1,1.0
treatment,post-period,01C784BDB7AF4DC8DAD6DCD21AF56E25,245,20,12.25,29,1.5263157894736843
treatment,pre-period,01C784BDB7AF4DC8DAD6DCD21AF56E25,18,3,6.0,3,1.0
treatment,post-period,01CCB1291A5E38957D382823567A968A,20,2,10.0,1,1.0
treatment,pre-period,01CCB1291A5E38957D382823567A968A,9,1,9.0,1,1.0
control,control-period,01CFFBBD46917B080573B3A5CC322BF7,3,1,3.0,2,1.0
control,control-period,01DBA80E8EC7E714096F1059BD8EEE3F,12,2,6.0,2,1.0
treatment,post-period,01E32D5F696E088F968DFD847C2A68D8,5,2,2.5,1,1.0
treatment,pre-period,01E32D5F696E088F968DFD847C2A68D8,4,1,4.0,2,1.0
control,control-period,01E3F5C89603FFF6C16EAC6B6324BFC6,4,1,4.0,1,1.0
control,control-period,01FF44D5BB7692C378E6E647AF1F2DEF,10,2,5.0,2,1.0
control,control-period,02084E10F9F1052182B5602D6CDC50BA,32,7,4.5714285714285712,10,1.4285714285714286
control,control-period,0217C9606C9F810928969484AE2E6636,1,1,1.0,0,
treatment,post-period,0217CFB14E415205AE6B110F64C9B713,30,5,6.0,5,1.25
treatment,pre-period,0217CFB14E415205AE6B110F64C9B713,12,2,6.0,2,1.0
control,control-period,021E703A207ECD0CC248918F28426D95,9,5,1.8,6,1.2
treatment,post-period,0224B89E5A7079D57A98B240CBFFE3DB,1,1,1.0,0,
treatment,pre-period,0224B89E5A7079D57A98B240CBFFE3DB,9,5,1.8,5,1.0
control,control-period,022891093337BA8FAFC0E5B82B9C276D,5,2,2.5,2,1.0
control,control-period,022FFC1F2B5A9F2982EE83C313176D54,4,1,4.0,1,1.0
treatment,pre-period,0232A0C6A31572DBA6D6CB0F2592ABCE,14,1,14.0,3,3.0
treatment,post-period,0232A0C6A31572DBA6D6CB0F2592ABCE,59,5,11.8,7,1.75
treatment,pre-period,023A2DB99CC3F70A4B71869C36952D74,71,13,5.4615384615384617,21,1.6153846153846154
treatment,post-period,023A2DB99CC3F70A4B71869C36952D74,61,12,5.083333333333333,15,1.25
treatment,pre-period,02508ACF3E0BA4D0C4770C03817AFDE3,3,1,3.0,1,1.0
treatment,post-period,02508ACF3E0BA4D0C4770C03817AFDE3,6,1,6.0,0,
control,control-period,025CEDD98F1E38B50D543FAD0BDA49EF,5,1,5.0,1,1.0
treatment,post-period,025FF377B4148748AF5743A54761EA15,28,5,5.6,7,1.4
treatment,pre-period,025FF377B4148748AF5743A54761EA15,71,4,17.75,7,1.75
treatment,post-period,026E9E99CF63F4AD31203F6B2E01949D,167,4,41.75,14,3.5
treatment,pre-period,026E9E99CF63F4AD31203F6B2E01949D,10,2,5.0,2,1.0
control,control-period,0289ACB4026B0C28A9FF7BF2560E2A7F,49,23,2.1304347826086958,34,1.4782608695652173
treatment,post-period,028CAE01A9F16A228177C973451441A1,111,10,11.1,21,2.1
treatment,pre-period,028CAE01A9F16A228177C973451441A1,2,1,2.0,0,
