cohort,period_cohort,user_pseudo_id,level_starts,days,level_starts_per_day,sessions,sessions_per_day
control,control-period,0046A2D1B1135C0AB4462B8FF036739E,78,12,6.5,14,1.1666666666666667
treatment,pre-period,004D2DFEB866BFB00427DB2F530C1F3D,231,3,77.0,4,1.3333333333333333
treatment,post-period,004D2DFEB866BFB00427DB2F530C1F3D,1490,29,51.379310344827587,40,1.4814814814814814
control,control-period,0053BF563994B28D4A8035CEE4215F2F,18,1,18.0,1,1.0
control,control-period,008BB135FC4C954B73C042127F3BA0BA,4,2,2.0,2,1.0
control,control-period,00900133892F41706582DFE78A7BB382,282,13,21.692307692307693,30,2.3076923076923075
treatment,post-period,00B6295EC351DBFE0E31015296871E35,3,3,1.0,2,1.0
treatment,pre-period,00B6295EC351DBFE0E31015296871E35,6,6,1.0,7,1.0
control,control-period,00CBACD3F5BB79458B825DE063EBD883,2,1,2.0,1,1.0
control,control-period,00D49153E0790E34D76523EEBEF459B2,437,23,19.0,33,1.4347826086956521
control,control-period,00E542CEE1C381384B5D40B775F1C19A,18,4,4.5,4,1.0
control,control-period,00F541FA1C141575D0AD7048F809CC6E,16,12,1.3333333333333333,14,1.1666666666666667
control,control-period,010DAA54F4C62559F2F5767813B48782,47,4,11.75,4,1.0
control,control-period,011A541DBC3D5ADB8450B051AC69A304,201,39,5.1538461538461542,61,1.5641025641025641
control,control-period,0129188FE90E57C0A94813F1919AB27D,154,22,7.0,30,1.3636363636363635
control,control-period,012A1B5594934B98BD38FDD68C560702,13,3,4.333333333333333,3,1.0
control,control-period,0160043392B1572A375E5C3BE1BB0C31,70,4,17.5,6,1.5
control,control-period,018F03084C88E944163F76A0D0C2FBA1,1273,66,19.287878787878789,114,1.7272727272727273
control,control-period,019FCC6C080A33E9B697CAA476C4156E,440,6,73.333333333333329,17,2.8333333333333335
control,control-period,01C784BDB7AF4DC8DAD6DCD21AF56E25,263,22,11.954545454545455,32,1.4545454545454546
control,control-period,01DADD290826872CB449CB1005A423AB,1,1,1.0,1,1.0
control,control-period,0217CFB14E415205AE6B110F64C9B713,42,6,7.0,7,1.1666666666666667
control,control-period,021EF09A43C35F5B16BA132137CE4CAE,2,1,2.0,1,1.0
control,control-period,02311BD462580F5DF942A0D6D05ED877,7,3,2.3333333333333335,4,1.3333333333333333
control,control-period,0232A0C6A31572DBA6D6CB0F2592ABCE,73,5,14.6,10,2.0
control,control-period,024E7FEC0BCF6A2AA90E4696C95B44A1,1,1,1.0,1,1.0
control,control-period,025FF377B4148748AF5743A54761EA15,99,9,11.0,14,1.5555555555555556
control,control-period,026E9E99CF63F4AD31203F6B2E01949D,177,5,35.4,16,3.2
control,control-period,0289ACB4026B0C28A9FF7BF2560E2A7F,49,23,2.1304347826086958,34,1.4782608695652173
control,control-period,028CAE01A9F16A228177C973451441A1,113,10,11.3,21,2.1
control,control-period,02CA9DD43A7BE3472BB48D0B0F72D52A,20,3,6.666666666666667,3,1.0
treatment,pre-period,02F5084C948BF823B7261A0353E92EE3,133,6,22.166666666666668,10,1.6666666666666667
treatment,post-period,02F5084C948BF823B7261A0353E92EE3,59,6,9.8333333333333339,6,1.5
control,control-period,030D58D3258598A9563844AD6A28FA61,26,11,2.3636363636363638,16,1.4545454545454546
control,control-period,0373DF7959F6867CDFB1C905D39CE67C,158,14,11.285714285714286,17,1.2142857142857142
control,control-period,03780EE9CFF9761E7D40266B65D30158,15,4,3.75,4,1.0
control,control-period,037DAC225F0C1E54657770CD201CDDA7,349,43,8.1162790697674421,58,1.3809523809523809
control,control-period,0393E8CD10D9BAF3E2F06D31395151E6,193,3,64.333333333333329,6,2.0
control,control-period,03948FE68D30FD7BD6B46D1993062581,26,3,8.6666666666666661,3,1.0
treatment,pre-period,03A9D32C44665A9E15CFCCEDC9F68EDB,859,38,22.605263157894736,169,4.4473684210526319
treatment,post-period,03A9D32C44665A9E15CFCCEDC9F68EDB,359,36,9.9722222222222214,101,2.8055555555555554
control,control-period,03B685883D78D1DB9F67A86635F9D788,973,7,139.0,12,1.7142857142857142
control,control-period,03C785126C8E65CF455DFF3C671E5DC0,21,3,7.0,3,1.0
control,control-period,04218989D72A318EBEED9858D4C4B2E2,0,0,,1,1.0
control,control-period,04311C56F5F87F352C135466C7087618,128,43,2.9767441860465116,52,1.2093023255813953
control,control-period,04642AC8247317441C678A94CB1ECCC7,102,2,51.0,3,1.5
control,control-period,0468A3491A70948EFEBE92DAA699F4CF,150,25,6.0,49,2.0416666666666665
treatment,pre-period,04C1B862AFA39703243166C625EBBD40,2,1,2.0,1,1.0
treatment,post-period,04C1B862AFA39703243166C625EBBD40,20,1,20.0,1,1.0
control,control-period,04F397E482E77FD2B7CAEB81E732790C,68,7,9.7142857142857135,9,1.2857142857142858
control,control-period,050231DF01854EFA691E0D5F4DB9ADB2,110,15,7.333333333333333,25,1.6666666666666667
control,control-period,051BB6E9EC8D2B13A70DB57A132B1A2F,48,4,12.0,5,1.25
control,control-period,053FFBAB6879C1E7E1915E40C191F61D,46,6,7.666666666666667,8,1.3333333333333333
control,control-period,05407E04B9FA64CB63D8FA1D966AD6A2,162,32,5.0625,32,1.0
control,control-period,0545C2BABDB15C6A952ECEA222E8F5E6,8,5,1.6,5,1.0
control,control-period,05B5E4EA8ABA0B2A4020DE6309DC183A,47,1,47.0,1,1.0
treatment,post-period,05FB3382D94C7E963B408FD6CC357D33,4360,71,61.408450704225352,248,3.492957746478873
treatment,pre-period,05FB3382D94C7E963B408FD6CC357D33,993,24,41.375,65,2.7083333333333335
control,control-period,0617A09ABF92B4E5CD854F64FA86F8A2,33,3,11.0,4,1.3333333333333333
control,control-period,0631FA641CC89F17A6248392D40454BF,4,1,4.0,1,1.0
control,control-period,0635682134C7480DD38F27D5CDCBCCC2,195,11,17.727272727272727,22,2.0
control,control-period,064753F4DE400882CBF47644C9FCF8EE,181,25,7.24,35,1.3461538461538463
control,control-period,06748F728B1C8DCEFE3E690671AE286E,195,7,27.857142857142858,7,1.0
control,control-period,06A302E3A4767793ADBC884143708660,106,58,1.8275862068965518,67,1.1551724137931034
control,control-period,06D8AAEACE405BEB27DC4AE30FAAAFF1,114,13,8.76923076923077,18,1.3846153846153846
control,control-period,06F1C673C13A88C11D6D9A650205B2E1,13,1,13.0,1,1.0
control,control-period,07155715A8401C5ADEA813C579DD8A84,7,3,2.3333333333333335,3,1.0
control,control-period,07306BA35CEC558CCAB0B84409937A11,134,7,19.142857142857142,11,1.5714285714285714
control,control-period,073FD5B36BB079283A7A76A6CDAEE19C,7,1,7.0,1,1.0
control,control-period,07429BDC864F5AF7496EC5AB15D622C3,32,3,10.666666666666666,3,1.0
control,control-period,075EBEDBF28134BE41FB4E7D943F858C,142,22,6.4545454545454541,29,1.3809523809523809
control,control-period,077BC7302275F4E34731C2780C166C02,15,3,5.0,5,1.6666666666666667
control,control-period,079E84FBF40BA6D3E74C7E61A7BD4F91,20,7,2.8571428571428572,7,1.0
control,control-period,07AC6E7F50CC5A3D9991DC220B5F92A1,80,3,26.666666666666668,7,2.3333333333333335
control,control-period,07BA1D5FAA047D05359113E20FC8BBB9,8,4,2.0,4,1.0
control,control-period,07DB546A94677E3F3203A8C30B9A4F11,595,22,27.045454545454547,26,1.1818181818181819
control,control-period,07EFEBFA43A67BC7482DA6FDEDBDA2E2,4,2,2.0,5,1.0
control,control-period,0808B3380E616BDF15E6F2FBAF38147F,16,4,4.0,5,1.25
control,control-period,08362BC5AB07C0587FC4CDC22AD97252,1,1,1.0,0,
control,control-period,0853C64BFFCD4B2DDCABC141D8233E85,4,2,2.0,1,1.0
control,control-period,0896F71BD17284AEC7C97C4841CB650F,18,4,4.5,5,1.0
treatment,post-period,08997F7C4FA9AA016F22D7BF9D59120A,26,2,13.0,1,1.0
treatment,pre-period,08997F7C4FA9AA016F22D7BF9D59120A,33,2,16.5,2,1.0
control,control-period,08A1668F786A08C724B1F99689AAF716,219,10,21.9,10,1.0
treatment,post-period,08D399C66188D9A356AFAD5E2B2BA45E,1053,12,87.75,62,5.166666666666667
treatment,pre-period,08D399C66188D9A356AFAD5E2B2BA45E,1140,7,162.85714285714286,32,4.5714285714285712
control,control-period,08F14F3BCA030F81B447161BA8653B44,79,10,7.9,17,1.7
control,control-period,090E55B2F56E588CD11A5AD386CF39EA,14,1,14.0,1,1.0
control,control-period,091770A1325101155A651F90D283DA35,302,36,8.38888888888889,104,2.8888888888888888
control,control-period,092890FA0561E3456ED710E3F88750B3,54,1,54.0,1,1.0
treatment,pre-period,093642BD46204EB5F950303CE696BC18,17,1,17.0,1,1.0
treatment,post-period,093642BD46204EB5F950303CE696BC18,22,2,11.0,1,1.0
